datetime,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,nuclear,wind,hydro,solar,unknown,import_SE-SE2,export_SE-SE4,import_NO-NO1,export_NO-NO1,import_DK-DK1,export_DK-DK1,import_FI,export_FI
2025-06-15 08:00:00,100,54,6551,5743,3544,2736,4303,118,472,714,132,3544,1318,0,190,0,642,0,571
2025-06-15 09:00:00,100,53,6667,5812,3408,2553,4304,128,463,802,111,3408,906,0,383,0,620,0,630
2025-06-15 10:00:00,100,51,6668,5868,2944,2144,4304,161,458,841,99,2944,598,0,86,0,645,0,804
2025-06-15 11:00:00,100,50,6764,5873,2742,1851,4303,180,457,829,99,2725,307,17,0,0,702,0,835
2025-06-15 12:00:00,100,48,6769,5857,2459,1547,4302,218,458,775,99,2459,34,0,211,0,462,0,837
2025-06-15 13:00:00,100,51,6895,5780,2955,1840,4300,226,462,683,104,2955,648,0,120,0,318,0,753
2025-06-15 14:00:00,100,55,7168,5692,3791,2315,4295,266,471,539,116,3787,1576,0,27,0,123,0,589
2025-06-15 15:00:00,100,64,7629,5720,6327,4418,4295,302,609,364,147,6215,3319,98,0,0,66,0,1033
2025-06-15 16:00:00,100,66,7630,5680,6853,4903,4294,297,734,206,147,6275,3549,555,0,0,228,0,1126
2025-06-15 17:00:00,100,65,7710,5602,6858,4750,4294,287,797,76,147,6402,3567,439,0,0,40,0,1143
2025-06-15 18:00:00,100,66,7714,5631,7006,4923,4295,362,800,25,148,6456,3717,544,0,0,81,0,1125
2025-06-15 19:00:00,100,65,7434,5701,6668,4935,4297,447,801,6,149,6221,3662,447,0,0,368,0,903
2025-06-15 20:00:00,100,65,7376,5806,6601,5031,4296,561,800,1,147,6106,3607,495,0,0,603,0,813
2025-06-15 21:00:00,100,64,6895,5867,6273,5245,4294,720,704,1,147,5685,3867,588,0,0,714,0,651
2025-06-15 22:00:00,100,63,6506,5886,5779,5159,4296,746,696,0,147,5225,4034,554,0,0,714,0,401
2025-06-15 23:00:00,100,61,6362,5975,5343,4956,4300,820,707,0,147,5044,4045,299,0,0,714,0,188
2025-06-16 00:00:00,100,61,6262,6053,5109,4900,4298,900,707,0,147,4814,4080,295,0,0,714,0,98
2025-06-16 01:00:00,100,62,6259,6063,5242,5046,4298,911,705,1,147,4976,4219,266,0,0,714,0,98
2025-06-16 02:00:00,100,61,6186,6076,4985,4875,4298,902,723,5,147,4693,3920,292,0,0,714,0,225
2025-06-16 03:00:00,100,63,6468,6084,5670,5286,4303,890,724,19,147,4998,4074,672,0,0,691,0,501
2025-06-16 04:00:00,100,66,7042,6139,6713,5810,4305,907,735,44,147,5941,4183,772,0,0,690,0,914
2025-06-16 05:00:00,100,67,6862,6222,6713,6073,4305,941,735,93,147,5941,4183,772,0,0,690,0,1194
2025-06-16 06:00:00,100,66,6979,6392,6198,5612,4305,990,738,168,189,5621,3764,577,0,0,654,0,1194
2025-06-16 07:00:00,100,64,7006,6626,5339,4959,4306,1083,722,273,236,5339,3007,0,170,0,604,0,1178
