date,temperature_2m,cloud_cover,relative_humidity_2m,wind_speed_100m,wind_direction_100m,shortwave_radiation_sum
2025-05-13 00:00:00+00:00,8.411,93.0,76.0,18.861,256.759,12.58
2025-05-13 01:00:00+00:00,8.061,98.0,80.0,13.325,271.548,12.58
2025-05-13 02:00:00+00:00,8.161,100.0,86.0,7.654,311.186,12.58
2025-05-13 03:00:00+00:00,8.461,100.0,91.0,7.928,2.603,12.58
2025-05-13 04:00:00+00:00,8.861,100.0,91.0,8.217,28.811,12.58
2025-05-13 05:00:00+00:00,10.311,100.0,84.0,7.993,54.162,12.58
2025-05-13 06:00:00+00:00,11.511,100.0,74.0,8.655,73.072,12.58
2025-05-13 07:00:00+00:00,13.111,100.0,65.0,10.309,77.905,12.58
2025-05-13 08:00:00+00:00,15.361,98.0,57.0,11.441,77.276,12.58
2025-05-13 09:00:00+00:00,16.811,94.0,48.0,11.526,75.53,12.58
2025-05-13 10:00:00+00:00,18.461,99.0,40.0,10.246,71.565,12.58
2025-05-13 11:00:00+00:00,19.811,100.0,38.0,8.05,63.435,12.58
2025-05-13 12:00:00+00:00,20.111,100.0,35.0,6.99,55.491,12.58
2025-05-13 13:00:00+00:00,19.861,100.0,36.0,8.397,59.036,12.58
2025-05-13 14:00:00+00:00,18.761,100.0,35.0,10.788,64.29,12.58
2025-05-13 15:00:00+00:00,16.361,100.0,57.0,11.726,72.121,12.58
2025-05-13 16:00:00+00:00,15.511,100.0,65.0,10.106,94.086,12.58
2025-05-13 17:00:00+00:00,14.011,100.0,78.0,10.009,127.694,12.58
2025-05-13 18:00:00+00:00,13.611,100.0,83.0,10.949,152.593,12.58
2025-05-13 19:00:00+00:00,12.761,100.0,84.0,9.727,177.879,12.58
2025-05-13 20:00:00+00:00,11.661,97.0,86.0,9.086,213.69,12.58
2025-05-13 21:00:00+00:00,10.961,92.0,89.0,9.228,249.444,12.58
2025-05-13 22:00:00+00:00,10.161,88.0,91.0,10.788,295.71,19.44
2025-05-13 23:00:00+00:00,10.661,100.0,91.0,17.596,329.237,19.44
2025-05-14 00:00:00+00:00,10.311,91.0,91.0,24.591,342.095,19.44
2025-05-14 01:00:00+00:00,10.261,100.0,81.0,28.822,350.655,19.44
2025-05-14 02:00:00+00:00,8.511,100.0,67.0,31.328,358.683,19.44
2025-05-14 03:00:00+00:00,7.561,99.0,66.0,33.55,3.691,19.44
2025-05-14 04:00:00+00:00,7.111,94.0,65.0,34.652,4.17,19.44
2025-05-14 05:00:00+00:00,7.211,90.0,60.0,34.607,2.981,19.44
2025-05-14 06:00:00+00:00,7.611,70.0,57.0,34.922,0.591,19.44
2025-05-14 07:00:00+00:00,8.161,62.0,54.0,36.065,356.566,19.44
2025-05-14 08:00:00+00:00,9.011,62.0,51.0,37.778,352.333,19.44
2025-05-14 09:00:00+00:00,10.111,54.0,47.0,38.549,348.69,19.44
2025-05-14 10:00:00+00:00,11.461,46.0,42.0,37.723,346.759,19.44
2025-05-14 11:00:00+00:00,12.811,38.0,39.0,35.973,346.103,19.44
2025-05-14 12:00:00+00:00,13.661,56.0,36.0,34.321,344.798,19.44
2025-05-14 13:00:00+00:00,13.861,80.0,35.0,32.344,343.178,19.44
2025-05-14 14:00:00+00:00,13.511,89.0,35.0,30.173,340.484,19.44
2025-05-14 15:00:00+00:00,13.011,96.0,35.0,29.158,339.775,19.44
2025-05-14 16:00:00+00:00,12.111,97.0,38.0,29.941,341.783,19.44
2025-05-14 17:00:00+00:00,10.711,99.0,66.0,31.608,345.489,19.44
2025-05-14 18:00:00+00:00,7.911,100.0,87.0,33.19,347.471,19.44
2025-05-14 19:00:00+00:00,7.011,99.0,82.0,33.542,347.605,19.44
2025-05-14 20:00:00+00:00,6.161,89.0,83.0,33.004,346.115,19.44
2025-05-14 21:00:00+00:00,5.961,88.0,84.0,33.354,346.264,19.44
2025-05-14 22:00:00+00:00,5.561,86.0,86.0,34.597,347.989,18.49
2025-05-14 23:00:00+00:00,5.411,100.0,84.0,36.458,350.91,18.49
2025-05-15 00:00:00+00:00,5.661,100.0,89.0,37.649,353.962,18.49
2025-05-15 01:00:00+00:00,5.811,100.0,88.0,38.522,359.465,18.49
2025-05-15 02:00:00+00:00,5.961,100.0,89.0,39.046,5.29,18.49
2025-05-15 03:00:00+00:00,6.511,100.0,89.0,39.359,8.945,18.49
2025-05-15 04:00:00+00:00,6.611,100.0,88.0,38.236,8.664,18.49
2025-05-15 05:00:00+00:00,7.011,100.0,86.0,36.18,5.711,18.49
2025-05-15 06:00:00+00:00,7.261,100.0,84.0,34.987,3.539,18.49
2025-05-15 07:00:00+00:00,7.811,100.0,81.0,34.987,3.539,18.49
2025-05-15 08:00:00+00:00,8.661,100.0,78.0,35.705,3.468,18.49
2025-05-15 09:00:00+00:00,9.811,98.0,74.0,36.424,3.4,18.49
2025-05-15 10:00:00+00:00,11.211,78.0,67.0,37.096,1.668,18.49
2025-05-15 11:00:00+00:00,12.611,53.0,61.0,37.807,358.909,18.49
2025-05-15 12:00:00+00:00,13.661,31.0,56.0,38.202,357.299,18.49
2025-05-15 13:00:00+00:00,14.211,26.0,53.0,38.202,357.299,18.49
2025-05-15 14:00:00+00:00,14.561,11.0,51.0,37.827,357.818,18.49
2025-05-15 15:00:00+00:00,14.611,2.0,48.0,36.727,358.877,18.49
2025-05-15 16:00:00+00:00,14.261,0.0,47.0,34.217,1.809,18.49
2025-05-15 17:00:00+00:00,13.561,0.0,47.0,30.771,6.044,18.49
2025-05-15 18:00:00+00:00,12.711,0.0,48.0,29.122,8.531,18.49
2025-05-15 19:00:00+00:00,11.511,0.0,50.0,30.096,6.87,18.49
2025-05-15 20:00:00+00:00,10.211,0.0,53.0,32.072,2.573,18.49
2025-05-15 21:00:00+00:00,9.511,0.0,54.0,33.842,359.39,18.49
2025-05-15 22:00:00+00:00,9.161,0.0,62.0,34.268,356.386,22.95
2025-05-15 23:00:00+00:00,7.75,0.0,67.0,34.031,353.928,22.95
2025-05-16 00:00:00+00:00,7.45,0.0,70.0,34.115,352.725,22.95
2025-05-16 01:00:00+00:00,7.15,5.0,70.0,34.321,355.187,22.95
2025-05-16 02:00:00+00:00,7.0,12.0,69.0,34.567,358.807,22.95
2025-05-16 03:00:00+00:00,7.1,16.0,68.0,34.577,1.79,22.95
2025-05-16 04:00:00+00:00,7.65,15.0,67.0,33.151,2.489,22.95
2025-05-16 05:00:00+00:00,8.55,10.0,67.0,31.339,1.975,22.95
2025-05-16 06:00:00+00:00,9.45,9.0,65.0,30.317,4.086,22.95
2025-05-16 07:00:00+00:00,10.3,13.0,62.0,30.853,11.441,22.95
2025-05-16 08:00:00+00:00,11.2,20.0,59.0,33.249,19.612,22.95
2025-05-16 09:00:00+00:00,12.05,25.0,55.0,35.754,25.017,22.95
2025-05-16 10:00:00+00:00,12.85,26.0,51.0,37.998,25.837,22.95
2025-05-16 11:00:00+00:00,13.6,25.0,48.0,39.806,24.015,22.95
2025-05-16 12:00:00+00:00,14.0,22.0,45.0,40.712,21.801,22.95
2025-05-16 13:00:00+00:00,13.85,15.0,44.0,40.418,17.628,22.95
2025-05-16 14:00:00+00:00,13.4,6.0,44.0,39.326,11.618,22.95
2025-05-16 15:00:00+00:00,12.85,0.0,44.0,38.446,6.992,22.95
2025-05-16 16:00:00+00:00,12.3,0.0,45.0,37.971,5.44,22.95
2025-05-16 17:00:00+00:00,11.75,0.0,46.0,37.613,5.492,22.95
2025-05-16 18:00:00+00:00,11.1,0.0,48.0,36.896,5.599,22.95
2025-05-16 19:00:00+00:00,10.4,0.0,51.0,35.859,6.34,22.95
2025-05-16 20:00:00+00:00,9.65,0.0,55.0,34.115,7.275,22.95
2025-05-16 21:00:00+00:00,8.95,3.0,58.0,33.044,7.512,22.95
2025-05-16 22:00:00+00:00,8.25,15.0,61.0,32.599,6.34,25.12
2025-05-16 23:00:00+00:00,7.65,31.0,63.0,32.113,3.857,25.12
2025-05-17 00:00:00+00:00,7.15,38.0,65.0,32.072,2.573,25.12
2025-05-17 01:00:00+00:00,6.8,29.0,66.0,32.45,3.18,25.12
2025-05-17 02:00:00+00:00,6.6,12.0,67.0,32.886,5.024,25.12
2025-05-17 03:00:00+00:00,6.8,0.0,67.0,32.599,6.34,25.12
2025-05-17 04:00:00+00:00,7.45,0.0,66.0,31.129,5.974,25.12
2025-05-17 05:00:00+00:00,8.5,0.0,64.0,28.522,4.343,25.12
2025-05-17 06:00:00+00:00,9.65,2.0,61.0,27.06,3.814,25.12
2025-05-17 07:00:00+00:00,11.0,5.0,57.0,26.759,5.404,25.12
2025-05-17 08:00:00+00:00,12.45,10.0,52.0,26.882,7.696,25.12
2025-05-17 09:00:00+00:00,13.7,13.0,48.0,27.466,10.573,25.12
2025-05-17 10:00:00+00:00,14.6,14.0,46.0,28.385,15.446,25.12
2025-05-17 11:00:00+00:00,15.25,13.0,45.0,29.834,19.747,25.12
2025-05-17 12:00:00+00:00,15.55,12.0,45.0,31.019,21.801,25.12
2025-05-17 13:00:00+00:00,15.45,10.0,45.0,30.973,19.699,25.12
2025-05-17 14:00:00+00:00,15.0,7.0,47.0,30.564,15.018,25.12
2025-05-17 15:00:00+00:00,14.4,4.0,48.0,30.077,11.041,25.12
2025-05-17 16:00:00+00:00,13.65,2.0,50.0,29.238,9.926,25.12
2025-05-17 17:00:00+00:00,12.75,1.0,52.0,28.112,9.583,25.12
2025-05-17 18:00:00+00:00,11.85,0.0,54.0,27.343,9.09,25.12
2025-05-17 19:00:00+00:00,10.85,0.0,57.0,27.645,8.236,25.12
2025-05-17 20:00:00+00:00,9.8,0.0,60.0,28.31,7.306,25.12
2025-05-17 21:00:00+00:00,8.95,0.0,62.0,28.982,6.419,25.12
2025-05-17 22:00:00+00:00,8.45,0.0,63.0,29.697,6.263,23.15
2025-05-17 23:00:00+00:00,8.1,0.0,62.0,30.454,6.789,23.15
2025-05-18 00:00:00+00:00,7.75,0.0,63.0,30.811,6.71,23.15
2025-05-18 01:00:00+00:00,7.15,0.0,66.0,31.169,6.632,23.15
2025-05-18 02:00:00+00:00,6.6,0.0,69.0,31.212,7.289,23.15
2025-05-18 03:00:00+00:00,6.35,0.0,71.0,30.454,6.789,23.15
2025-05-18 04:00:00+00:00,6.65,0.0,71.0,28.522,4.343,23.15
2025-05-18 05:00:00+00:00,7.35,0.0,70.0,26.29,1.569,23.15
2025-05-18 06:00:00+00:00,8.25,0.0,68.0,24.84,360.0,23.15
2025-05-18 07:00:00+00:00,9.5,0.0,65.0,25.241,3.27,23.15
2025-05-18 08:00:00+00:00,10.95,0.0,61.0,26.577,8.569,23.15
2025-05-18 09:00:00+00:00,12.2,0.0,57.0,28.202,14.036,23.15
2025-05-18 10:00:00+00:00,13.05,10.0,54.0,29.715,19.094,23.15
2025-05-18 11:00:00+00:00,13.65,23.0,52.0,31.106,23.895,23.15
2025-05-18 12:00:00+00:00,14.05,29.0,50.0,32.683,26.847,23.15
2025-05-18 13:00:00+00:00,14.3,23.0,49.0,33.488,26.84,23.15
2025-05-18 14:00:00+00:00,14.35,10.0,48.0,33.65,26.017,23.15
2025-05-18 15:00:00+00:00,14.1,0.0,49.0,33.373,23.523,23.15
2025-05-18 16:00:00+00:00,13.35,0.0,53.0,32.45,19.44,23.15
2025-05-18 17:00:00+00:00,12.3,0.0,58.0,31.26,14.676,23.15
2025-05-18 18:00:00+00:00,11.2,0.0,62.0,30.718,10.125,23.15
2025-05-18 19:00:00+00:00,10.1,0.0,63.0,31.26,7.943,23.15
2025-05-18 20:00:00+00:00,9.0,0.0,63.0,31.973,7.765,23.15
2025-05-18 21:00:00+00:00,8.05,0.0,64.0,32.284,7.046,23.15
2025-05-18 22:00:00+00:00,7.25,3.0,67.0,31.845,5.839,24.93
2025-05-18 23:00:00+00:00,6.6,7.0,72.0,31.421,4.6,24.93
2025-05-19 00:00:00+00:00,6.1,9.0,76.0,30.653,3.366,24.93
2025-05-19 01:00:00+00:00,5.65,9.0,79.0,30.274,2.726,24.93
2025-05-19 02:00:00+00:00,5.35,8.0,82.0,29.915,2.759,24.93
2025-05-19 03:00:00+00:00,5.55,6.0,82.0,29.196,2.827,24.93
2025-05-19 04:00:00+00:00,6.5,5.0,79.0,27.757,2.974,24.93
2025-05-19 05:00:00+00:00,7.85,3.0,75.0,25.96,3.18,24.93
2025-05-19 06:00:00+00:00,9.1,2.0,70.0,24.504,2.526,24.93
2025-05-19 07:00:00+00:00,9.85,1.0,66.0,24.123,0.855,24.93
2025-05-19 08:00:00+00:00,10.5,0.0,62.0,24.483,359.158,24.93
2025-05-19 09:00:00+00:00,11.15,0.0,57.0,25.21,358.363,24.93
2025-05-19 10:00:00+00:00,12.1,0.0,52.0,27.0,360.0,24.93
2025-05-19 11:00:00+00:00,13.1,0.0,46.0,29.196,2.827,24.93
2025-05-19 12:00:00+00:00,13.75,0.0,42.0,31.062,4.653,24.93
2025-05-19 13:00:00+00:00,13.85,1.0,40.0,31.487,5.906,24.93
2025-05-19 14:00:00+00:00,13.6,3.0,40.0,31.169,6.632,24.93
2025-05-19 15:00:00+00:00,13.2,5.0,41.0,30.855,7.374,24.93
2025-05-19 16:00:00+00:00,12.7,6.0,42.0,30.191,8.227,24.93
2025-05-19 17:00:00+00:00,12.05,8.0,44.0,29.478,8.427,24.93
2025-05-19 18:00:00+00:00,11.25,8.0,46.0,28.714,7.927,24.93
2025-05-19 19:00:00+00:00,10.3,7.0,48.0,28.31,7.306,24.93
2025-05-19 20:00:00+00:00,9.2,5.0,51.0,28.193,5.128,24.93
2025-05-19 21:00:00+00:00,8.2,3.0,54.0,28.138,3.668,24.93
2025-05-19 22:00:00+00:00,7.25,1.0,57.0,28.089,1.469,25.77
2025-05-19 23:00:00+00:00,6.4,0.0,59.0,27.72,360.0,25.77
