time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/loss,train/n_updates,rollout/ep_len_mean,train/std,eval/mean_reward,eval/mean_ep_length
2048,1,1065,1,,,,,,,,,,,,,,,
4096,4,994,2,4.7147274017333984e-05,0.001,-1.4360890408356985,0.006926277,0.031022135416666666,-0.007015018948974708,1670263.877787,29858479.066666666,0.2,14896085.0,15,2880.0,1.0329337120056152,,
5000,,,,0.00028783082962036133,0.001,-1.4652915596961975,0.0012989624,0.0024739583333333332,-0.0011472893102715412,,28338207.8,0.2,14643669.0,30,,1.0626388788223267,-850325.1637761,2880.0
6144,28,214,3,,,,,,,1788711.309664,,,,,2880.0,,,
8192,30,271,4,5.364418029785156e-07,0.001,-1.4922933538754781,0.0009799048,0.0014322916666666666,-0.00045284823475716016,1788711.309664,43053307.333333336,0.2,21159626.0,45,2880.0,1.0899473428726196,,
10000,,,,-3.5762786865234375e-07,0.001,-1.5198249419530232,0.00090933894,0.0015950520833333333,-0.00012547377264127135,,28018374.166666668,0.2,14547392.0,60,,1.1238301992416382,-791468.7739716,2880.0
10240,54,188,5,,,,,,,1731050.193092,,,,,2880.0,,,
12288,56,216,6,-1.1920928955078125e-07,0.001,-1.5507643620173137,0.0009337807,0.0023111979166666667,-0.0005591350976222506,1661263.8708375,34780886.93333333,0.2,17786008.0,75,2880.0,1.158520221710205,,
14336,57,247,7,0.0,0.001,-1.5846676886081696,0.0017511831,0.006087239583333333,-0.001246619593196859,1661263.8708375,31691021.166666668,0.2,15944119.0,90,2880.0,1.2038156986236572,,
15000,,,,3.5762786865234375e-07,0.001,-1.6231279651323953,0.006055779,0.022428385416666665,-0.004750437580514699,,24501044.366666667,0.2,12232446.0,105,,1.2493152618408203,-819357.7342907999,2880.0
16384,82,198,8,,,,,,,1632986.8761664,,,,,2880.0,,,
18432,84,217,9,2.980232238769531e-07,0.001,-1.6545809924602508,0.000549793,0.0005208333333333333,-0.00014193967217579484,1719138.42567,43773545.46666667,0.2,22776798.0,120,2880.0,1.2816802263259888,,
20000,,,,1.1920928955078125e-07,0.001,-1.6776734352111817,0.0005197101,0.00068359375,-0.00011477403653164705,,56511341.266666666,0.2,28862640.0,135,,1.3090487718582153,-847035.4362445001,2880.0
20480,109,187,10,,,,,,,1813326.7793897144,,,,,2880.0,,,
22528,110,203,11,-1.1920928955078125e-07,0.001,-1.699722284078598,0.00340059,0.009375,-0.004999739152844995,1813326.7793897144,52294951.2,0.2,26480960.0,150,2880.0,1.3400311470031738,,
24576,112,217,12,2.980232238769531e-07,0.001,-1.7241329888502757,0.0009536698,0.0013020833333333333,-0.001855483977124095,1875318.9680416249,41358736.666666664,0.2,21742380.0,165,2880.0,1.3750410079956055,,
25000,,,,1.4901161193847656e-06,0.001,-1.7494269529978435,0.0017726766,0.0044596354166666664,-0.0018841061159037054,,41168984.53333333,0.2,20721202.0,180,,1.408409595489502,-920037.0560423,2880.0
26624,138,192,13,,,,,,,1941196.7681285553,,,,,2880.0,,,
28672,139,205,14,2.980232238769531e-07,0.001,-1.7719196617603301,0.000601997,0.00048828125,-0.0012237340823048725,1941196.7681285553,65842005.46666667,0.2,32870322.0,195,2880.0,1.4385972023010254,,
30000,,,,1.1920928955078125e-07,0.001,-1.7928664664427438,0.0003878407,0.00016276041666666666,-0.0006953876504364113,,57183092.06666667,0.2,28387230.0,210,,1.4690321683883667,-903445.6409009,2880.0
30720,165,186,15,,,,,,,2036711.5536754995,,,,,2880.0,,,
32768,167,195,16,2.384185791015625e-07,0.001,-1.816546618938446,0.00064592273,0.0007486979166666667,-0.0006368949951138347,2057823.450802727,41265102.333333336,0.2,21308212.0,225,2880.0,1.5095056295394897,,
34816,169,204,17,0.0,0.001,-1.8421848078568777,0.0006536441,0.00078125,-3.507565512942771e-05,2046678.909723583,54974482.06666667,0.2,27750146.0,240,2880.0,1.544097900390625,,
35000,,,,-1.1920928955078125e-07,0.001,-1.8671021044254303,0.00079597125,0.0012044270833333334,-0.0007063369577129682,,37229706.86666667,0.2,18100238.0,255,,1.5891528129577637,-826177.9577839,2880.0
36864,194,189,18,,,,,,,2046678.909723583,,,,,2880.0,,,
38912,196,197,19,1.1920928955078125e-07,0.001,-1.8940477649370828,0.00061111257,0.0007486979166666667,-0.0005759439353520672,2076219.6013319998,58100262.2,0.2,28068506.0,270,2880.0,1.626896619796753,,
40000,,,,1.4901161193847656e-06,0.001,-1.9188079714775086,0.0008533264,0.00166015625,-0.0007375604473054409,,38294476.6,0.2,20653468.0,285,,1.6719599962234497,-853573.4029551002,2880.0
40960,221,184,20,,,,,,,2074713.0107311425,,,,,2880.0,,,
43008,223,192,21,0.0,0.001,-1.9479508837064108,0.000913893,0.00185546875,-0.00034742476030563316,2074713.0107311425,34614640.93333333,0.2,17805624.0,300,2880.0,1.724263310432434,,
45000,,,,1.1920928955078125e-07,0.001,-1.9808385332425436,0.0010490967,0.0024088541666666668,-0.00034079180331900714,,30695684.5,0.2,16111489.0,315,,1.785821557044983,-893753.8925809001,2880.0
45056,248,181,22,,,,,,,2047402.153781933,,,,,2880.0,,,
47104,250,187,23,1.7881393432617188e-07,0.001,-2.0172586659590404,0.0012759021,0.0024739583333333332,-0.0003400987518640856,2013440.687133375,21627023.2,0.2,11980838.0,330,2880.0,1.8544801473617554,,
49152,252,194,24,2.384185791015625e-07,0.001,-2.0520529905954996,0.001059473,0.00234375,-0.0008547011006157845,2029270.4620853532,39553977.666666664,0.2,19847210.0,345,2880.0,1.9120899438858032,,
50000,,,,-2.384185791015625e-07,0.001,-2.079612652460734,0.00051485474,0.0005208333333333333,-5.654860287904739e-05,,44188158.4,0.2,21591654.0,360,,1.960317611694336,-841731.8745747,2880.0
51200,275,185,25,,,,,,,2029270.4620853532,,,,,2880.0,,,
53248,277,191,26,0.0,0.001,-2.1085525592168173,0.0011095522,0.00244140625,-0.000874353059528706,2007939.6541973336,29134455.533333335,0.2,14510548.0,375,2880.0,2.029545783996582,,
55000,,,,-1.1920928955078125e-07,0.001,-2.142934437592824,0.0009575166,0.0021158854166666665,-0.0008321360762541493,,36168145.96666667,0.2,17249946.0,390,,2.096566677093506,-882143.0893531,2880.0
55296,301,183,27,,,,,,,2026645.8709278423,,,,,2880.0,,,
57344,302,189,28,0.0,0.001,-2.1707488457361857,0.00042891494,0.00035807291666666664,6.065001944079995e-05,2026645.8709278423,55093142.4,0.2,27478514.0,405,2880.0,2.1439549922943115,,
59392,304,194,29,-1.1920928955078125e-07,0.001,-2.1994118094444275,0.0015431743,0.0032552083333333335,-0.00041726885635095335,2006243.1862282504,22836809.266666666,0.2,10432203.0,420,2880.0,2.2271883487701416,,
60000,,,,5.960464477539063e-08,0.001,-2.2326886296272277,0.0005431279,0.00078125,-0.0008377849240787328,,56513578.93333333,0.2,27240738.0,435,,2.282559871673584,-947099.6245339001,2880.0
61440,327,187,30,,,,,,,2042307.7904612862,,,,,2880.0,,,
63488,329,192,31,0.0,0.001,-2.25496856768926,0.00040665834,0.00013020833333333333,-7.067592038462559e-05,2044112.4310322732,54306796.2,0.2,26413524.0,450,2880.0,2.3330395221710205,,
65000,,,,-1.1920928955078125e-07,0.001,-2.2791460156440735,0.00067396613,0.0006510416666666666,0.0003795715592180689,,35202683.233333334,0.2,16433668.0,465,,2.3973100185394287,-923399.7626493999,2880.0
65536,352,186,32,,,,,,,2044112.4310322732,,,,,2880.0,,,
